Wall time,Step,Value
1618074159.010032,2390,30.265897750854492
1618074159.80852,2392,30.33325958251953
1618074173.645377,2400,30.440933227539062
1618074174.4374,2402,30.311172485351562
1618074176.017961,2406,30.48522186279297
1618074180.003261,2416,30.44751739501953
1618074183.223971,2424,30.418481826782227
1618074183.618304,2425,30.547636032104492
1618074188.002275,2436,30.413728713989258
1618074191.19367,2444,30.46095085144043
1618074193.629845,2450,30.326499938964844
1618074194.053519,2451,30.44760513305664
1618074194.853297,2453,30.477272033691406
1618074195.642871,2455,30.360801696777344
1618074197.636625,2460,30.438026428222656
1618074207.625501,2485,30.50663185119629
1618074208.022151,2486,30.594234466552734
1618074212.001228,2496,30.18058204650879
1618074212.802972,2498,30.356611251831055
1618074225.190355,2502,30.278356552124023
1618074225.588483,2503,30.59503746032715
1618074229.942995,2514,30.13943862915039
1618074231.137525,2517,30.195354461669922
1618074233.520484,2523,30.404264450073242
1618074235.506152,2528,30.40509033203125
1618074236.296412,2530,30.594512939453125
1618074237.092132,2532,30.494304656982422
1618074237.888776,2534,30.518739700317383
1618074243.073381,2547,30.656883239746094
1618074244.717212,2551,30.655309677124023
1618074245.528328,2553,30.628786087036133
1618074246.728702,2556,30.612340927124023
1618074250.339142,2565,30.483545303344727
1618074250.741143,2566,30.632339477539062
1618074254.801108,2576,30.609943389892578
1618074255.594862,2578,30.60030174255371
1618074260.397391,2590,30.213912963867188
1618074260.794973,2591,30.232929229736328
1618074261.191524,2592,30.363327026367188
1618074262.792876,2596,30.236547470092773
1618074274.97888,2600,30.138879776000977
1618074277.359086,2606,30.415203094482422
1618074284.175017,2623,30.4654541015625
1618074285.370831,2626,30.512399673461914
1618074286.563648,2629,30.673484802246094
1618074286.957422,2630,30.5707950592041
1618074290.165458,2638,30.58810806274414
1618074292.581538,2644,30.59322166442871
1618074295.024199,2650,30.641115188598633
1618074297.031545,2655,30.34142303466797
1618074304.719126,2674,30.55770492553711
1618074306.318008,2678,30.545194625854492
1618074307.112325,2680,30.57400131225586
1618074309.113708,2685,30.42211151123047
1618074311.114112,2690,30.5271053314209
1618074327.148253,2703,30.66775894165039
1618074329.953455,2710,30.363351821899414
1618074335.950509,2725,30.240924835205078
1618074340.345567,2736,30.32740592956543
1618074340.747965,2737,30.586984634399414
1618074341.94585,2740,30.343175888061523
1618074344.367156,2746,30.198543548583984
1618074347.170555,2753,28.760778427124023
1618074347.564967,2754,29.171855926513672
1618074347.961593,2755,29.023717880249023
1618074348.383828,2756,29.197053909301758
1618074348.786548,2757,29.009334564208984
1618074352.384102,2766,30.033632278442383
1618074361.536185,2789,30.42810821533203
1618074361.930309,2790,30.45143699645996
1618074362.337118,2791,30.38251304626465
1618074365.132654,2798,30.431190490722656
1618074380.307036,2809,30.666717529296875
1618074381.101316,2811,30.560903549194336
1618074385.927062,2823,30.721702575683594
1618074386.32919,2824,30.571029663085938
1618074387.531453,2827,30.64809226989746
1618074388.328351,2829,30.68387794494629
1618074388.728173,2830,30.670780181884766
1618074389.532791,2832,30.730880737304688
1618074397.202363,2851,30.54732894897461
1618074400.438826,2859,30.623085021972656
1618074401.643494,2862,30.6123104095459
1618074405.260543,2871,30.514751434326172
1618074405.669389,2872,30.60093116760254
1618074408.895691,2880,30.539875030517578
1618074409.302701,2881,30.624916076660156
1618074411.72932,2887,30.715028762817383
1618074412.943758,2890,30.507827758789062
1618074415.405074,2896,30.190494537353516
1618074416.207262,2898,30.343017578125
1618074427.860478,2900,30.380220413208008
1618074434.708812,2917,30.471996307373047
1618074435.512873,2919,30.428796768188477
1618074435.908902,2920,30.645681381225586
1618074436.307768,2921,30.536495208740234
1618074440.711741,2932,30.617454528808594
1618074444.742658,2942,30.43648338317871
1618074447.995975,2950,30.568471908569336
1618074454.845438,2967,30.446455001831055
1618074457.678074,2974,30.341405868530273
1618074458.079447,2975,30.398391723632812
1618074459.292545,2978,30.480913162231445
1618074465.737927,2994,30.28870391845703
1618074467.361535,2998,30.63393783569336
1618074480.132049,3003,30.617727279663086
1618074480.942213,3005,30.553775787353516
1618074481.753135,3007,30.656150817871094
1618074482.559692,3009,30.66692352294922
1618074483.357397,3011,30.42828941345215
1618074484.979053,3015,30.594032287597656
1618074485.381598,3016,30.57400131225586
1618074489.842204,3027,30.53352165222168
1618074491.063162,3030,30.614952087402344
1618074494.3674,3038,30.544912338256836
1618074495.577352,3041,30.641681671142578
1618074495.984083,3042,30.448591232299805
1618074499.243048,3050,30.516082763671875
1618074505.291585,3065,30.446887969970703
1618074506.094873,3067,30.576780319213867
